,City,Clouds,Humidity,Lat,Lng,Max Temp,Wind
47,Te Anau,44,78,-45.41,167.72,46.2,3.49
48,Saint-Augustin,0,83,44.83,-0.61,69.8,6.96
49,Snasa,92,97,64.25,12.38,39.72,2.93
50,Araouane,20,33,18.9,-3.53,88.77,1.59
51,Gat,36,74,14.69,-16.54,80.6,6.17
52,Ampanihy,0,84,-24.69,44.75,55.11,2.71
53,Mattru,88,99,7.62,-11.83,73.92,3.27
54,Calama,0,14,-22.46,-68.93,53.6,6.93
55,Storforshei,44,100,66.4,14.52,35.31,1.7
56,Khatanga,0,90,71.98,102.47,49.21,3.71
57,Mahon,75,93,51.89,-8.4,62.6,10.29
58,Alofi,40,65,-19.06,-169.92,80.6,11.41
59,Russell,0,46,-33.01,-68.8,50.0,2.48
60,Victoria,75,79,5.28,115.24,87.8,3.36
61,Carbondale,1,73,38.82,-95.69,77.0,6.93
62,Leningradskiy,76,92,69.38,178.42,43.5,9.53
63,Severo-Kurilsk,0,83,50.68,156.12,57.72,3.04
64,Georgetown,20,94,6.8,-58.16,77.0,6.06
65,San Jose de Rio Tinto,75,78,14.93,-85.7,78.8,2.82
66,Ponta Delgada,20,82,37.73,-25.67,66.2,1.12
67,Karanja,92,95,20.48,77.49,74.73,13.0
68,Mahanoro,64,100,-19.9,48.8,60.87,2.15
69,Edd,20,47,13.93,41.69,84.0,3.83
70,Tiksi,80,92,71.64,128.87,46.65,8.97
71,Puerto Ayora,0,69,-0.74,-90.35,75.2,13.87
72,Sept-Iles,64,75,50.2,-66.38,61.81,3.04
73,Saint-Philippe,90,64,45.36,-73.48,73.4,12.75
74,Raudeberg,92,67,61.99,5.14,59.0,23.04
75,Mantua,0,73,45.16,10.79,69.8,1.12
76,Port Elizabeth,90,88,39.31,-74.98,78.8,13.87
77,Barrow,0,57,-38.31,-60.23,42.15,14.56
78,Coquimbo,90,87,-29.95,-71.34,50.0,5.06
79,San Patricio,0,88,-26.98,-56.83,40.08,2.15
80,Jishou,8,67,28.26,109.7,86.97,7.07
81,Tha Chang,68,65,14.76,100.39,88.59,8.97
82,Brae,80,93,60.4,-1.35,57.2,21.92
83,Bambous Virieux,40,68,-20.34,57.76,71.6,10.29
84,Vostok,92,96,46.45,135.83,62.22,6.62
85,Fortuna,0,64,38.18,-1.13,71.6,1.12
86,Norman Wells,92,96,65.28,-126.83,51.24,4.83
87,Lima,44,87,-12.06,-77.04,58.08,2.37
88,Razole,24,93,16.48,81.84,83.1,16.8
89,Maryborough,0,31,-25.54,152.7,68.88,4.61
90,Dikson,92,89,73.51,80.55,47.32,7.74
91,Superior,1,59,39.95,-105.17,64.4,4.7
92,San Francisco,75,72,37.78,-122.42,71.6,12.75
93,Hamilton,92,100,43.26,-79.87,68.38,10.65
94,Pisco,90,77,-13.71,-76.2,64.4,9.17
95,Bandarbeyla,56,87,9.49,50.81,76.8,29.33
96,Hobart,75,57,-42.88,147.33,51.8,10.29
97,Amot,92,93,59.57,7.99,40.62,2.37
98,Adony,0,68,47.12,18.86,71.6,5.82
99,Yeppoon,0,24,-23.13,150.74,71.6,6.93
100,Dingle,8,83,11.0,122.67,82.69,8.75
101,Mar del Plata,20,38,-46.43,-67.52,53.62,11.54
102,Nikolskoye,20,71,59.7,30.79,55.4,13.42
103,Le Port,12,90,42.87,1.37,48.81,1.03
104,Port Harcourt,92,98,4.77,7.02,69.51,3.49
105,Sembakung,36,95,3.82,117.25,75.31,2.93
106,Chokurdakh,8,82,70.62,147.9,50.07,4.16
107,Kimovsk,0,90,53.97,38.53,52.68,10.2
108,Arona,0,78,45.76,8.56,71.6,5.82
109,Sayyan,0,34,15.17,44.32,61.95,2.93
110,Paamiut,92,100,61.99,-49.67,40.8,13.78
111,Jamestown,0,43,-33.21,138.6,53.53,12.88
112,Samarai,64,100,-10.62,150.67,77.52,14.34
113,Mehamn,92,100,71.03,27.85,45.3,18.92
114,Yellowknife,68,77,62.45,-114.38,59.56,4.83
115,Fort Abbas,12,83,29.19,72.85,87.33,4.94
116,Atambua,0,80,-9.11,124.89,83.55,1.59
117,Cabo San Lucas,75,74,22.89,-109.91,86.0,10.29
118,Amazar,8,67,53.86,120.88,66.63,4.72
119,Naze,92,98,5.43,7.07,69.87,5.61
120,Ariquemes,12,67,-9.91,-63.03,72.48,4.5
121,Dakar,20,83,14.69,-17.45,78.8,4.7
122,Pilar,0,70,-34.46,-58.91,51.8,4.7
123,Novyy Buyan,0,52,53.69,50.04,66.2,11.18
124,Carnarvon,0,73,-30.97,22.13,25.23,2.93
125,Chambas,40,70,22.19,-78.91,84.2,8.05
126,Yar-Sale,0,80,66.83,70.83,58.98,8.52
127,Clyde River,92,94,70.47,-68.59,37.47,4.38
128,Rocha,0,86,-34.48,-54.34,33.42,2.59
129,Saint Anthony,1,22,43.97,-111.68,77.0,4.7
130,Margate,75,57,-43.03,147.26,51.8,10.29
131,Seymchan,0,65,62.93,152.39,53.94,3.6
132,Oparino,68,85,59.85,48.28,53.13,7.63
133,Maumere,12,100,-8.63,122.22,80.17,5.39
134,Souillac,0,60,45.6,-0.6,73.4,4.7
135,Aksu,90,100,52.04,76.93,50.0,13.42
136,Tuktoyaktuk,12,100,69.44,-133.03,36.25,14.23
137,Kruisfontein,12,100,-34.0,24.73,49.08,6.17
138,Sorland,88,100,67.67,12.69,52.5,11.43
139,Wilmington Island,1,83,32.0,-80.97,84.2,5.82
140,Nantucket,90,100,41.28,-70.1,68.0,6.93
141,Belaya Gora,0,67,68.54,146.19,54.3,5.95
142,Okhotsk,92,94,59.36,143.24,60.42,9.75
143,Flinders,40,61,-34.58,150.85,57.2,12.75
144,Turukhansk,0,94,65.8,87.96,59.7,4.5
145,Yumen,0,29,40.29,97.04,78.33,5.95
146,Fort Frances,1,55,48.61,-93.4,62.6,4.7
147,Coihaique,0,60,-45.58,-72.07,41.0,8.05
148,Laguna,90,46,27.52,-110.01,93.2,8.05
149,Vila,0,78,45.18,8.4,71.6,5.82
150,Avarua,75,57,-21.21,-159.78,75.2,11.41
151,Aklavik,56,79,68.22,-135.01,46.06,10.76
152,Dawlatabad,0,57,36.41,64.91,67.35,5.95
153,Broken Hill,0,56,-31.97,141.45,64.11,14.67
154,Nampula,0,93,-15.12,39.26,64.4,3.36
155,Ishinomaki,40,70,38.42,141.3,84.2,9.17
156,Lebu,44,98,8.96,38.73,46.92,2.71
157,Rusape,0,83,-18.53,32.12,43.59,2.37
158,Maragogi,92,89,-9.01,-35.22,74.5,8.52
159,Chicama,90,88,-7.84,-79.15,62.6,9.17
160,Kahului,40,58,20.89,-156.47,87.8,21.92
161,Dawei,92,100,14.07,98.19,73.83,2.04
162,Chuy,0,89,-33.69,-53.46,42.15,8.19
163,Tottori,40,44,35.5,134.23,93.2,13.87
164,Udachnyy,92,99,66.42,112.4,54.34,4.16
165,Mana,0,100,43.52,20.24,60.8,1.12
166,Alihe,12,73,50.57,123.73,67.26,6.17
167,Volot,36,69,57.93,30.71,54.75,7.96
168,Ribeira Grande,92,100,38.52,-28.7,73.69,9.64
169,Klaksvik,56,100,62.23,-6.59,48.2,11.41
170,Ornskoldsvik,24,81,63.29,18.72,42.8,9.17
171,Ponta do Sol,0,63,-20.63,-46.0,53.4,4.72
172,Henties Bay,0,100,-22.12,14.28,49.44,8.41
173,Ulundi,88,99,-28.29,31.43,53.04,1.48
174,Morant Bay,20,74,17.88,-76.41,86.0,19.46
175,Goderich,92,98,43.74,-81.71,68.02,17.25
176,Torbay,100,92,47.66,-52.73,59.29,13.78
177,Nouadhibou,75,88,20.93,-17.03,69.8,17.22
178,Esso,20,66,55.93,158.7,46.38,4.16
179,Weston,90,88,41.2,-73.38,73.4,10.29
180,Saint George,0,68,39.45,22.34,66.2,5.82
181,Pevek,48,100,69.7,170.27,47.41,3.71
182,Ishigaki,20,84,24.34,124.16,86.0,12.75
183,Namibe,24,100,-15.19,12.15,62.49,0.47
184,Vanimo,12,100,-2.67,141.3,83.55,14.45
185,Longyearbyen,75,75,78.22,15.63,41.0,1.59
186,Kibiti,76,94,-7.72,38.94,69.6,2.37
187,Vardo,75,94,39.62,-77.74,71.6,6.93
188,Majene,12,91,-3.54,118.97,83.73,18.48
189,Pyaozerskiy,0,85,65.83,31.17,49.08,13.11
190,Upernavik,32,93,72.79,-56.15,40.3,16.35
191,Kudahuvadhoo,0,99,2.67,72.89,84.0,9.64
192,Young,0,77,-32.7,-57.63,35.67,3.15
193,Nahavand,0,79,34.19,48.37,47.01,2.37
194,Castro,92,82,-42.48,-73.76,44.67,7.52
195,Saskylakh,0,90,71.97,114.09,52.77,5.61
196,Guerrero Negro,0,73,27.97,-114.04,74.91,8.63
197,Lompoc,1,77,34.64,-120.46,77.0,13.87
198,Canto do Buriti,0,46,-8.11,-42.94,75.0,11.99
199,New Norfolk,75,57,-42.78,147.06,51.8,10.29
200,Soe,0,71,57.91,26.05,50.0,8.05
201,Bluefield,75,93,37.27,-81.22,71.6,5.82
202,Lagoa,0,50,37.14,-8.45,77.0,5.82
203,Grindavik,75,100,63.84,-22.43,50.0,5.82
204,Sobolevo,0,79,54.43,31.9,51.15,11.32
205,Kaitangata,36,78,-46.28,169.85,51.06,9.98
206,Ormara,64,91,25.21,64.64,80.4,12.21
207,Christchurch,44,44,-43.53,172.64,59.0,3.36
208,Cumberland,75,88,41.97,-71.43,69.8,8.05
209,Codrington,0,54,-28.95,153.24,64.47,4.38
210,College,90,93,64.86,-147.8,64.4,5.82
211,Ahipara,92,100,-35.17,173.16,55.11,19.71
212,Kartaly,76,70,53.05,60.64,64.47,6.62
213,Kedougou,92,92,12.56,-12.19,73.65,8.08
214,Gizo,20,73,31.8,34.94,77.0,3.36
215,Touros,80,90,-5.2,-35.46,74.82,14.67
216,Skierniewice,0,93,51.96,20.14,60.8,2.24
217,Kailua,20,74,21.39,-157.74,87.8,12.75
218,Kargasok,44,91,59.06,80.87,61.5,2.26
219,Motril,0,68,36.75,-3.52,68.0,2.15
220,Seoul,20,58,37.57,126.98,87.8,10.29
221,Rio Grande,0,96,-32.03,-52.1,50.16,9.75
222,Mount Isa,0,14,-20.73,139.49,75.2,8.05
223,Acari,36,94,-6.44,-36.64,68.16,10.2
224,Abu Samrah,20,96,35.3,37.18,67.44,8.75
225,Port-Cartier,88,93,50.03,-66.88,62.17,6.51
226,Esperance,20,100,10.24,-61.45,77.0,6.29
227,Siilinjarvi,0,71,63.08,27.67,50.0,14.99
228,Yabelo,92,87,4.89,38.09,63.57,3.49
229,Beckley,90,88,37.78,-81.19,71.6,3.36
230,Korsor,0,82,55.33,11.14,59.0,4.7
231,Bethel,90,72,60.79,-161.76,60.8,10.29
232,El Monte,1,48,34.08,-118.04,93.2,9.17
233,Inhambane,0,100,-23.87,35.38,68.52,7.29
234,Bambanglipuro,76,74,-7.95,110.28,78.33,4.94
235,Provideniya,40,62,64.42,-173.23,57.2,8.95
236,Auki,12,96,12.18,6.51,70.32,9.86
237,Tura,80,90,25.52,90.21,80.67,3.04
238,Cherskiy,80,88,68.75,161.3,42.46,2.59
239,Luderitz,0,87,-26.65,15.16,50.97,20.27
240,Kodiak,20,83,39.95,-94.76,71.6,6.93
241,San Martin,90,87,37.08,-121.61,73.4,5.82
242,Gornopravdinsk,80,71,60.06,69.92,55.56,6.4
243,Macusani,36,100,-14.07,-70.43,46.38,1.7
244,Sinnai,0,94,39.3,9.2,75.2,5.82
245,Nan,75,100,18.78,100.78,78.8,3.36
246,Evensk,48,83,61.92,159.24,57.9,6.51
247,Butia,0,63,-21.88,-47.57,73.4,3.36
248,Ucluelet,0,51,48.94,-125.55,77.47,1.92
249,Tshela,64,96,-4.99,12.94,64.56,3.27
250,Nishihara,1,59,35.74,139.53,89.6,10.29
251,Ancud,88,83,-41.87,-73.83,45.88,6.96
252,Quatre Cocos,40,68,-20.21,57.76,71.6,10.29
253,Athens,90,69,34.8,-86.97,78.8,6.93
254,Gambo,48,95,11.96,9.63,70.23,6.06
255,Khani,40,88,41.96,42.96,68.0,3.36
256,Karasburg,0,72,-28.01,18.75,29.64,3.27
257,Savannah Bight,36,100,16.45,-85.85,80.49,12.1
258,Bonavista,80,97,48.65,-53.11,59.79,13.22
259,Taonan,0,72,45.34,122.78,76.98,6.4
260,Mahibadhoo,20,97,3.78,72.97,84.0,11.65
261,Lorengau,36,99,-2.02,147.27,84.27,4.94
262,Bauchi,24,93,10.31,9.85,66.18,3.71
263,Viedma,0,28,-40.81,-62.99,52.14,15.46
264,Veraval,75,100,49.65,0.71,60.8,3.36
265,Chumikan,48,83,54.72,135.31,64.02,5.28
266,Sorong,56,100,-0.86,131.25,81.93,9.31
267,Mentougou,0,61,39.94,116.09,80.6,2.24
268,Hinche,40,83,19.14,-72.01,78.8,9.17
269,Constitucion,40,27,23.99,-104.67,78.8,8.05
270,Coahuayana,64,95,18.62,-100.35,67.89,1.7
271,Coos Bay,1,72,43.37,-124.22,77.0,11.41
272,Valleyview,0,62,55.07,-117.28,66.0,6.4
273,Saint-Joseph,0,64,43.56,6.97,78.8,2.24
274,Alice Springs,0,7,-23.7,133.88,71.6,21.92
275,Pangkalanbuun,0,83,-2.68,111.62,85.44,7.52
276,Yulara,0,8,-25.24,130.99,71.6,17.22
277,Kirakira,24,100,-10.46,161.92,81.57,11.21
278,Tocopilla,48,94,-22.09,-70.2,55.83,5.17
279,Dmitrov,0,81,56.35,37.52,51.8,13.42
280,Freeport,64,94,26.54,-78.7,84.36,9.42
281,Vredendal,0,85,-31.68,18.49,31.98,1.7
282,Kutum,20,96,14.2,24.66,63.75,3.6
283,Vacaria,92,99,-28.51,-50.94,44.76,4.05
284,Thunder Bay,68,73,48.41,-89.26,57.63,4.38
285,Vetovo,0,88,45.42,17.79,64.4,2.24
286,Namatanai,24,100,-3.66,152.44,82.65,2.71
287,Altamira,20,93,-3.2,-52.21,74.73,1.81
288,Charters Towers,0,55,-20.07,146.27,72.57,5.61
289,Meulaboh,92,100,4.14,96.13,77.52,0.81
290,East London,88,100,-33.02,27.91,62.62,6.17
291,Meadow Lake,0,77,54.13,-108.44,61.05,2.82
292,Praia da Vitoria,20,83,38.73,-27.07,73.4,8.97
293,Miles City,1,52,46.41,-105.84,66.2,5.82
294,Sao Miguel do Araguaia,0,83,-13.28,-50.16,70.77,3.6
295,Shambu,92,100,9.57,37.1,56.46,3.15
296,Leh,88,85,34.16,77.58,35.4,2.04
297,Delfzijl,0,87,53.33,6.91,68.0,1.12
298,Santo Amaro da Imperatriz,75,93,-27.69,-48.78,51.8,6.29
299,Goba,24,90,7.01,39.97,47.55,2.59
300,Anchorage,90,100,61.22,-149.89,55.4,5.82
301,Coroico,75,86,-16.19,-67.73,41.0,10.29
302,Sanghar,68,72,28.18,68.31,86.43,5.39
303,Vertientes,75,83,21.26,-78.15,80.6,8.05
304,Banaue,76,84,16.91,121.06,79.14,5.17
305,Ust-Kuyga,80,94,70.0,135.55,53.4,4.27
306,Sinjai,56,73,-5.12,120.25,81.57,5.39
307,Umm Kaddadah,24,96,13.6,26.69,67.98,2.93
308,San Cristobal,40,81,-0.39,-78.55,51.8,13.87
309,Labuhan,20,76,-2.54,115.51,83.91,3.49
310,Yenagoa,92,98,4.92,6.26,73.2,8.52
311,Agirish,0,81,61.92,63.02,46.87,5.17
312,Kandalaksha,8,83,67.15,32.41,48.0,9.98
313,Cotonou,40,88,6.37,2.43,77.0,14.99
314,Ambulu,8,92,-8.35,113.61,78.33,7.18
315,Andilamena,76,96,-17.01,48.57,59.7,7.96
316,Saldanha,0,74,41.42,-6.55,62.71,0.81
317,Wanning,0,60,48.64,13.53,69.8,5.82
318,Abtenau,0,88,47.56,13.35,62.6,3.36
319,Ostrovnoy,92,92,68.05,39.51,46.51,22.84
320,Harper,1,28,30.3,-99.24,93.2,7.18
321,Soimi,8,82,46.68,22.12,68.0,3.36
322,Tevriz,68,95,57.51,72.4,53.31,3.6
323,Grand Gaube,40,68,-20.01,57.66,71.6,10.29
324,Zhuhai,0,56,40.71,112.04,68.0,2.24
325,Broome,0,93,52.47,1.45,60.8,5.82
326,Swift Current,0,38,50.29,-107.8,63.84,9.75
327,Saint-Georges,56,63,46.12,-70.67,64.83,6.17
328,Port Hardy,0,86,50.7,-127.42,65.46,3.49
329,San Pedro,0,91,-33.68,-59.66,36.48,7.96
330,Ust-Tsilma,92,96,65.44,52.15,58.8,12.1
331,Fukue,40,74,35.03,136.69,87.8,10.29
332,Sitka,48,64,37.17,-99.65,72.12,9.75
333,La Tuque,68,76,47.44,-72.79,63.75,4.72
334,Mabaruma,0,91,8.2,-59.78,79.05,6.4
335,Lucapa,0,82,-8.42,20.74,61.32,5.39
336,Qasigiannguit,75,70,68.82,-51.19,42.8,5.82
337,Kulhudhuffushi,48,97,6.62,73.07,83.55,14.79
338,Banyo,92,98,6.75,11.81,64.83,3.83
339,Camacha,20,83,33.08,-16.33,69.8,10.29
340,Dunedin,24,91,-45.87,170.5,47.05,3.94
341,Okha,92,69,53.59,142.95,66.18,14.34
342,Tual,44,96,-5.67,132.75,80.22,14.79
343,Katsuura,75,55,33.93,134.5,89.6,9.17
344,Pyay,88,99,18.82,95.22,73.51,6.29
345,Kidal,0,45,18.44,1.41,79.23,6.51
346,Sehithwa,0,39,-20.47,22.7,57.63,9.98
347,Cap Malheureux,40,68,-19.98,57.61,71.6,10.29
348,Kavaratti,56,95,10.57,72.64,82.47,18.48
349,Burgeo,56,93,47.61,-57.61,62.85,12.1
350,Qaanaaq,0,92,77.48,-69.36,37.2,8.75
351,Shelburne,88,97,44.08,-80.2,65.28,13.22
352,Portland,75,19,45.52,-122.67,93.2,12.75
353,Rawson,0,66,-43.3,-65.11,35.04,2.71
354,Axim,92,99,4.87,-2.24,75.18,14.79
355,Jabinyanah,40,65,35.03,10.91,77.0,3.36
356,Sabya,0,61,16.19,43.1,74.64,0.58
357,Hualmay,24,97,-11.1,-77.61,55.92,5.73
358,Isla Vista,1,69,34.41,-119.86,77.0,10.29
359,Kieta,36,100,-6.22,155.63,78.33,4.16
360,Eydhafushi,0,99,5.1,73.07,82.92,13.56
361,Omboue,32,100,-1.57,9.26,73.29,10.98
362,Vestmanna,88,100,62.16,-7.17,48.2,11.41
363,Oksfjord,92,70,70.24,22.35,48.2,9.17
364,El Limon,90,69,10.3,-67.63,80.6,2.37
365,Falun,44,100,60.61,15.63,39.2,2.24
366,San Quintin,90,94,17.54,120.52,80.6,6.93
367,Berlevag,76,100,70.86,29.09,45.16,16.69
368,Log,12,77,45.62,13.84,78.8,5.82
369,Salinopolis,0,97,-0.61,-47.36,79.95,14.56
370,Geraldton,8,89,49.72,-86.95,54.48,4.38
371,Rafaela,0,54,-31.25,-61.49,40.48,7.18
372,Mayo,92,86,63.59,-135.9,57.63,3.6
373,Darnah,0,98,32.77,22.64,80.04,9.98
374,Walvis Bay,0,100,-22.95,14.51,53.85,14.67
375,Curaca,0,64,-8.99,-39.91,73.92,12.66
376,Zabid,48,31,14.2,44.5,60.87,3.15
377,Los Llanos de Aridane,0,78,28.66,-17.92,71.6,3.36
378,Turbat,80,89,26.0,63.05,77.16,4.38
379,Odienne,64,82,9.51,-7.57,73.92,7.07
380,Black River,20,78,18.03,-77.85,82.4,3.36
381,Port Hedland,75,100,-20.31,118.58,68.0,4.7
382,Yekepa,80,96,7.58,-8.54,70.05,9.42
383,Bocana de Paiwas,88,96,12.79,-85.12,74.82,7.52
384,Hobyo,20,81,5.35,48.53,73.38,17.81
385,Deputatskiy,8,68,69.3,139.9,53.4,3.94
386,Aswan,0,46,24.09,32.9,73.47,2.93
387,Cockburn Town,36,97,21.46,-71.14,83.55,18.59
388,Namtsy,36,66,62.72,129.66,69.78,2.93
389,Kaeo,80,96,-35.1,173.78,54.48,19.04
390,North Bend,1,72,43.41,-124.22,77.0,11.41
391,Havoysund,75,81,71.0,24.66,46.4,20.8
392,Dhola,75,100,27.92,84.82,69.8,2.24
393,Craig,20,63,40.52,-107.55,66.2,3.36
394,Airai,12,51,-8.93,125.41,81.93,1.36
395,Taksimo,8,67,56.36,114.84,64.92,1.81
396,Taormina,40,88,37.85,15.29,73.4,1.12
397,Cidreira,92,100,-30.17,-50.22,51.28,0.36
398,Vigrestad,90,82,58.57,5.7,59.0,18.34
399,Camopi,0,67,3.17,-52.33,76.08,4.16
400,Hovd,0,81,63.83,10.7,53.6,5.82
401,Palora,76,100,-1.7,-77.97,59.25,0.58
402,Kemin,64,92,42.79,75.7,48.9,2.59
403,Zhenlai,0,72,45.84,123.2,76.98,6.4
404,Port Keats,0,44,-14.25,129.55,85.17,5.73
405,Gamba,88,99,28.28,88.52,38.55,3.15
406,Kampene,12,91,-3.59,26.67,68.79,2.37
407,Sai Buri,40,88,6.7,101.62,82.4,4.7
408,Mocuba,0,72,-16.84,36.99,64.65,4.94
409,Kinsale,75,93,51.71,-8.52,62.6,10.29
410,Perivolion,40,83,39.42,20.01,75.2,5.17
411,Pervoye Maya,92,73,40.63,73.68,53.76,1.36
412,Teruel,8,87,40.34,-1.11,49.17,2.48
413,Villa Bruzual,32,95,9.33,-69.12,72.39,2.93
414,Tiarei,20,57,-17.53,-149.33,80.6,24.16
415,Kosonsoy,32,63,41.25,71.55,66.2,2.24
416,Ust-Nera,56,46,64.57,143.24,52.45,2.15
417,Ambilobe,48,93,-13.19,49.05,68.07,5.39
418,Awjilah,0,50,29.14,21.3,75.63,2.93
419,Novomoskovsk,0,90,54.01,38.29,52.68,10.2
420,Natal,20,78,-5.81,-35.21,75.2,5.82
421,Kermanshah,0,25,34.32,47.07,60.8,4.7
422,Forestville,88,77,48.74,-69.09,63.57,7.85
423,Byron Bay,0,100,-28.65,153.62,66.2,10.29
424,Vuktyl,20,77,63.86,57.31,60.69,9.98
425,Hami,0,35,42.84,93.51,86.7,2.48
426,Humberto de Campos,0,94,-2.6,-43.46,79.32,12.66
427,Torgelow,0,93,53.63,14.01,48.2,4.7
428,Urubicha,32,67,-15.63,-63.08,57.27,4.38
429,Griffith,0,88,-34.29,146.06,57.36,5.17
430,Kloulklubed,75,83,7.04,134.26,80.6,5.82
431,Gonbad-e Qabus,0,81,37.25,55.17,62.62,4.38
432,Talnakh,80,83,69.49,88.39,54.12,4.5
433,Lengshuitan,0,71,26.41,111.6,89.04,6.62
434,Whitehorse,0,53,60.72,-135.06,58.53,9.86
435,Nanortalik,0,98,60.14,-45.24,41.61,20.38
436,Robertsport,76,100,6.75,-11.37,77.43,10.65
437,Caramay,8,88,10.18,119.24,86.16,15.68
438,Kununurra,0,14,-15.77,128.74,78.8,8.05
439,Pilot Butte,0,32,50.48,-104.42,65.19,9.19
440,Uruacu,92,48,-14.52,-49.14,73.02,5.5
441,Peniche,75,100,39.36,-9.38,73.4,1.12
442,Nabire,48,87,-3.36,135.5,76.62,1.59
443,Luanda,75,94,-8.83,13.24,68.0,6.93
444,Devonport,0,75,-41.18,146.36,49.53,3.94
445,Maceio,40,73,-9.67,-35.74,75.2,3.36
446,Anloga,75,94,5.79,0.9,75.2,12.75
447,Tiznit,36,99,29.7,-9.73,65.82,2.93
448,Calvia,20,88,39.57,2.51,71.6,6.93
449,Nome,90,83,30.04,-94.42,86.0,9.17
450,Gorin,1,83,40.36,-92.02,73.4,4.7
451,Powell River,0,80,49.84,-124.52,67.17,0.92
452,Kokoda,92,100,-8.88,147.74,65.19,0.69
453,Newton,1,77,41.7,-93.05,69.8,8.05
454,Sechura,0,88,-5.56,-80.82,66.54,11.43
455,Bathsheba,40,78,13.22,-59.52,80.6,24.16
456,Itaituba,8,77,-4.26,-55.99,77.7,2.37
457,Colares,0,49,38.8,-9.45,73.4,4.7
458,Port-Gentil,0,100,-0.72,8.78,73.2,10.42
459,Mango,0,45,44.69,8.15,82.4,3.36
460,Ishurdi,92,100,24.13,89.07,80.22,5.17
461,Pavlivka,0,73,48.13,39.54,54.03,1.59
462,Aljezur,0,91,37.31,-8.8,66.99,1.14
463,Pontianak,20,88,-0.02,109.34,78.8,3.36
464,Tabuk,88,77,17.41,121.44,78.69,2.59
465,Grafton,0,47,-29.69,152.93,65.46,3.15
466,Mazamari,68,95,-11.33,-74.53,62.13,2.15
467,Lasa,0,88,34.92,32.53,77.0,8.05
468,Coxim,32,72,-18.5,-54.75,64.65,5.84
469,Biak,48,91,-0.91,122.88,79.23,5.95
470,Xuanhua,92,42,40.61,115.04,72.84,3.04
471,Kuressaare,0,71,58.21,25.84,50.0,8.05
472,Nanyang,8,70,33.0,112.53,85.62,12.88
473,Dudinka,68,77,69.41,86.18,60.24,8.75
474,Phonhong,75,88,18.5,102.42,80.6,2.24
475,Itarema,0,80,-2.92,-39.92,77.25,15.23
476,Grants Pass,90,40,42.44,-123.33,93.2,6.93
477,Emerald,0,17,-23.53,148.16,66.22,3.94
478,Westport,76,100,53.8,-9.52,57.04,10.42
479,Oytal,0,53,42.91,73.27,62.22,2.48
480,Reitz,80,59,-27.8,28.43,58.26,12.55
481,Caravelas,68,100,-17.73,-39.27,75.27,13.0
